date,Bikoro,Iboko,Wangata
20180408,1,0,0
20180409,0,0,0
20180410,0,0,0
20180411,0,0,0
20180412,0,0,0
20180413,1,1,0
20180414,0,0,0
20180415,0,0,0
20180416,0,0,0
20180417,1,0,0
20180418,1,0,0
20180419,1,0,0
20180420,1,0,0
20180421,1,0,0
20180422,0,0,0
20180423,0,0,0
20180424,1,0,2
20180425,0,0,0
20180426,0,0,0
20180427,0,0,0
20180428,0,1,0
20180429,0,0,0
20180430,0,1,0
20180501,1,0,0
20180502,0,0,0
20180503,1,1,1
20180504,4,1,0
20180505,2,1,0
20180506,2,1,0
20180507,0,1,0
20180508,0,1,0
20180509,0,0,0
20180510,0,1,1
20180511,0,0,0
20180512,2,0,1
20180513,1,1,0
20180514,0,2,0
20180515,0,4,1
20180516,0,1,0
20180517,0,0,0
20180518,0,1,0
20180519,0,1,1
20180520,0,0,0
20180521,0,0,0
20180522,3,4,3
